,stim,S,C,R,RT,block,cond,day,prestim_R
257,subscribe,W,j,j,0.4960333495400846,1,single,1,[]
258,spectre,W,j,k,0.7634044773876667,1,single,1,[]
259,plismacy,N,k,k,0.632994633866474,1,single,1,[]
260,seismic,W,j,k,0.5353852608241141,1,single,1,[]
261,remorse,W,j,j,0.5701309717260301,1,single,1,[]
262,chloggle,N,k,k,0.647027769125998,1,single,1,[]
263,steanse,N,k,k,0.583564069122076,1,single,1,[]
264,trupor,N,k,k,0.5916133509017527,1,single,1,[]
265,ludied,N,k,k,0.5106364758685231,1,single,1,[]
266,oyster,W,j,j,0.6020240236539394,1,single,1,[]
267,posia,N,k,k,0.4911423046141863,1,single,1,[]
268,emmorho,N,k,k,0.4844568546395749,1,single,1,[]
269,lovingly,W,j,j,0.5716125876642764,1,single,1,[]
270,turbulence,P,d,d,0.6005763609427959,1,single,1,[]
271,nepotism,W,j,k,0.937661558855325,1,single,1,[]
272,didactic,W,j,k,0.6426400106865913,1,single,1,[]
273,recipient,W,j,j,0.5572261000052094,1,single,1,[]
274,encucion,N,k,k,0.6159934592433274,1,single,1,[]
275,momalusing,N,k,k,0.5483330993447453,1,single,1,[]
276,stolma,N,k,k,0.486067071557045,1,single,1,[]
277,lattice,W,j,j,0.6532402799930423,1,single,1,[]
278,enrol,W,j,j,0.5417362879961729,1,single,1,[]
279,turbulence,P,d,j,0.4384230989962816,1,single,1,[]
280,catomous,N,k,k,0.6403429200872779,1,single,1,[]
281,emapsacy,N,k,k,0.6867366381920874,1,single,1,[]
282,grasy,N,k,d,0.9746109144762158,1,single,1,[]
283,turbulence,P,d,d,0.6539058203343302,1,single,1,[]
284,quarantine,W,j,j,0.7024833515752107,1,single,1,[]
285,absorption,W,j,j,0.5012960757594556,1,single,1,[]
286,earalyll,N,k,k,0.6246920560952276,1,single,1,[]
287,exploding,W,j,j,0.9111285849940032,1,single,1,[]
288,syringe,W,j,j,0.6156794687267393,1,single,1,[]
289,dackling,N,k,k,0.7079897588118911,1,single,1,[]
290,accutilate,N,k,j,0.8220104845240712,1,single,1,[]
291,tantamount,W,j,k,0.6221305520739406,1,single,1,[]
292,mutton,W,j,j,0.6305773553904146,1,single,1,[]
293,lotpler,N,k,k,0.5649610906839371,1,single,1,[]
294,precinct,W,j,j,0.7698735892772675,1,single,1,[]
295,slung,W,j,j,0.7893695635721087,1,single,1,[]
296,turbulence,P,d,d,0.7240459560416639,1,single,1,[]
297,invart,N,k,k,0.7281563812866807,1,single,1,[]
298,embargo,W,j,j,0.7093538909684867,1,single,1,[]
299,autistic,W,j,j,0.6953616198152304,1,single,1,[]
300,consake,N,k,k,0.6792432251386344,1,single,1,[]
301,bispout,N,k,k,0.7410113748628646,1,single,1,[]
302,pamphlet,W,j,j,0.6603076267056167,1,single,1,[]
303,adaving,N,k,k,0.6469367267563939,1,single,1,[]
304,dirund,N,k,k,0.8713635283056647,1,single,1,[]
305,turbulence,P,d,d,0.6496962402015924,1,single,1,[]
306,certisian,N,k,k,0.8102251628879458,1,single,1,[]
307,ascension,W,j,j,0.6510125978384167,1,single,1,[]
308,brafing,N,k,k,0.6995002888143063,1,single,1,[]
309,tenth,W,j,j,0.5713713106233627,1,single,1,[]
310,pugnacious,W,j,k,0.5613524499349296,1,single,1,[]
311,orsial,N,k,k,0.5363305383361876,1,single,1,[]
312,sirio,N,k,k,0.48792607709765434,1,single,1,[]
313,capeclon,N,k,k,0.5271058189682662,1,single,1,[]
314,bearsing,N,k,k,0.9726506501901895,1,single,1,[]
315,sweapy,N,k,j,0.6558086946606636,1,single,1,[]
316,tecament,N,k,k,0.6364978097844869,1,single,1,[]
317,disgust,W,j,j,0.6508746822364628,1,single,1,[]
318,chabing,N,k,k,0.6764524627942592,1,single,1,[]
319,conceding,W,j,k,0.5371742569841444,1,single,1,[]
320,turbulence,P,d,d,0.7799008630681783,1,single,1,[]
321,obstinate,W,j,k,1.3914089112076908,1,single,1,[]
322,aggravate,W,j,j,0.9050744220148772,1,single,1,[]
323,ennesall,N,k,k,0.5846142105292529,1,single,1,[]
324,imnilerate,N,k,k,0.5996388955973089,1,single,1,[]
325,fosty,N,k,k,1.1927083223126829,1,single,1,[]
326,ingiliogy,N,k,k,0.6056744297966361,1,single,1,[]
327,turbulence,P,d,d,1.9188022799789906,1,single,1,[]
328,buoyancy,W,j,j,1.4644239409826696,1,single,1,[]
329,stringack,N,k,k,0.5723859965801239,1,single,1,[]
330,semiran,N,k,k,0.5532589992508292,1,single,1,[]
331,lespel,N,k,k,0.6030164749827236,1,single,1,[]
332,hassle,W,j,j,0.5881432266905904,1,single,1,[]
333,peddle,W,j,j,0.8042127650696784,1,single,1,[]
334,turbulence,P,d,d,0.6610053174663335,1,single,1,[]
335,gatose,N,k,k,0.5835980221163481,1,single,1,[]
336,fadgist,N,k,k,0.6466185294557363,1,single,1,[]
337,eluseition,N,k,k,0.6721767797134817,1,single,1,[]
338,inplise,N,k,k,0.6129070350434631,1,single,1,[]
339,gratyvos,N,k,k,0.5751202704850584,1,single,1,[]
340,viotom,N,k,k,0.6200050297193229,1,single,1,[]
341,jenow,N,k,k,0.6162945299874991,1,single,1,[]
342,arpling,N,k,k,0.5395206247922033,1,single,1,[]
343,telte,N,k,k,0.5961952127981931,1,single,1,[]
344,bubbling,W,j,j,0.5973195701371878,1,single,1,[]
345,excrersing,N,k,j,0.6234991915989667,1,single,1,[]
