,stim,S,C,R,RT,block,cond,day,prestim_R
549,asparagus,W,d,-1,-1,1,single,2,-1
550,peculiar,P,j,-1,-1,1,single,2,-1
551,mediate,W,d,-1,-1,1,single,2,-1
552,caoing,N,s,-1,-1,1,single,2,-1
553,convame,N,s,-1,-1,1,single,2,-1
554,ceydery,N,s,-1,-1,1,single,2,-1
555,adshapate,N,s,-1,-1,1,single,2,-1
556,ferridied,N,s,-1,-1,1,single,2,-1
557,commute,W,d,-1,-1,1,single,2,-1
558,ministries,W,d,-1,-1,1,single,2,-1
559,embassies,W,d,-1,-1,1,single,2,-1
560,sanitation,W,d,-1,-1,1,single,2,-1
561,peculiar,P,j,-1,-1,1,single,2,-1
562,pliotip,N,s,-1,-1,1,single,2,-1
563,irratation,N,s,-1,-1,1,single,2,-1
564,plung,N,s,-1,-1,1,single,2,-1
565,stampede,W,d,-1,-1,1,single,2,-1
566,juror,W,d,-1,-1,1,single,2,-1
567,quandary,W,d,-1,-1,1,single,2,-1
568,peculiar,P,j,-1,-1,1,single,2,-1
569,archetypal,W,d,-1,-1,1,single,2,-1
570,panlidan,N,s,-1,-1,1,single,2,-1
571,revoyed,N,s,-1,-1,1,single,2,-1
572,otspitate,N,s,-1,-1,1,single,2,-1
573,advocating,W,d,-1,-1,1,single,2,-1
574,stripe,W,d,-1,-1,1,single,2,-1
575,insasition,N,s,-1,-1,1,single,2,-1
576,pewer,N,s,-1,-1,1,single,2,-1
577,rebovetion,N,s,-1,-1,1,single,2,-1
578,syringe,W,d,-1,-1,1,single,2,-1
579,purge,W,d,-1,-1,1,single,2,-1
580,previche,N,s,-1,-1,1,single,2,-1
581,obedience,W,d,-1,-1,1,single,2,-1
582,peculiar,P,j,-1,-1,1,single,2,-1
583,cottafting,N,s,-1,-1,1,single,2,-1
584,fosty,N,s,-1,-1,1,single,2,-1
585,redibanny,N,s,-1,-1,1,single,2,-1
586,funcisol,N,s,-1,-1,1,single,2,-1
587,edotnably,N,s,-1,-1,1,single,2,-1
588,strive,W,d,-1,-1,1,single,2,-1
589,peculiar,P,j,-1,-1,1,single,2,-1
590,slicing,W,d,-1,-1,1,single,2,-1
591,shurish,N,s,-1,-1,1,single,2,-1
592,mitigating,W,d,-1,-1,1,single,2,-1
593,grumbling,W,d,-1,-1,1,single,2,-1
594,peculiar,P,j,-1,-1,1,single,2,-1
595,groak,N,s,-1,-1,1,single,2,-1
596,pogari,N,s,-1,-1,1,single,2,-1
597,regrating,N,s,-1,-1,1,single,2,-1
598,terrain,W,d,-1,-1,1,single,2,-1
599,tiring,W,d,-1,-1,1,single,2,-1
600,intricate,W,d,-1,-1,1,single,2,-1
601,canyon,W,d,-1,-1,1,single,2,-1
602,acoustic,W,d,-1,-1,1,single,2,-1
603,jargon,W,d,-1,-1,1,single,2,-1
604,provenance,W,d,-1,-1,1,single,2,-1
605,surpass,W,d,-1,-1,1,single,2,-1
606,conjack,N,s,-1,-1,1,single,2,-1
607,barge,W,d,-1,-1,1,single,2,-1
608,remiturst,N,s,-1,-1,1,single,2,-1
609,cacerertz,N,s,-1,-1,1,single,2,-1
610,slulp,N,s,-1,-1,1,single,2,-1
611,peculiar,P,j,-1,-1,1,single,2,-1
612,pitiful,W,d,-1,-1,1,single,2,-1
613,plewriest,N,s,-1,-1,1,single,2,-1
614,hospoll,N,s,-1,-1,1,single,2,-1
615,peculiar,P,j,-1,-1,1,single,2,-1
616,gouging,W,d,-1,-1,1,single,2,-1
617,arejusity,N,s,-1,-1,1,single,2,-1
618,cuefulate,N,s,-1,-1,1,single,2,-1
619,gallit,N,s,-1,-1,1,single,2,-1
620,spagnonti,N,s,-1,-1,1,single,2,-1
621,indemnity,W,d,-1,-1,1,single,2,-1
622,troubling,W,d,-1,-1,1,single,2,-1
623,addinocy,N,s,-1,-1,1,single,2,-1
624,pahistic,N,s,-1,-1,1,single,2,-1
625,terracotta,W,d,-1,-1,1,single,2,-1
626,medieval,W,d,-1,-1,1,single,2,-1
627,dozzle,N,s,-1,-1,1,single,2,-1
628,peculiar,P,j,-1,-1,1,single,2,-1
629,oblique,W,d,-1,-1,1,single,2,-1
