,stim,S,C,R,RT,block,cond,day,prestim_R
364,plismacy,N,j,j,0.5830292329192162,1,multi,2,[]
365,carton,W,k,k,0.8700462693814188,1,multi,2,[]
366,betley,N,j,j,0.55232063238509,1,multi,2,[]
367,ferridied,N,j,j,0.5860501551069319,1,multi,2,[]
368,kestiries,N,j,j,0.5050654679071158,1,multi,2,[]
369,hydrogen,W,k,k,0.5965107060037553,1,multi,2,[]
370,ferocious,P,d,d,0.686642290558666,1,multi,2,[]
371,evinct,N,j,j,0.9745643415953964,1,multi,2,[]
372,demadating,N,j,j,0.7926317625679076,1,multi,2,[]
373,stringack,N,j,j,0.5353299742564559,1,multi,2,[]
374,oschissive,N,j,j,0.5829865662381053,1,multi,2,[]
375,mosquito,W,k,k,0.7029887416865677,1,multi,2,[]
376,vehemence,W,k,k,1.0868970286101103,1,multi,2,[]
377,obnoxious,W,k,k,0.6179026435129344,1,multi,2,[]
378,conumpham,N,j,j,0.6142098715063184,1,multi,2,[]
379,sensibly,W,k,k,0.6104639160912484,1,multi,2,[]
380,spachant,N,j,j,0.7256537694483995,1,multi,2,[]
381,stallion,P,d,d,0.7068951479159296,1,multi,2,[]
382,chalation,N,j,j,0.91689159325324,1,multi,2,[]
383,citrus,W,k,k,0.7174879054073244,1,multi,2,[]
384,atwansion,N,j,j,0.584575149230659,1,multi,2,[]
385,lening,N,j,j,0.5995739940553904,1,multi,2,[]
386,revake,N,j,j,0.6737713720649481,1,multi,2,[]
387,erupt,W,k,k,0.6624628957360983,1,multi,2,[]
388,quandary,W,k,j,1.4421729606110603,1,multi,2,[]
389,equation,W,k,k,0.6109173248987645,1,multi,2,[]
390,bembling,N,j,j,0.6392056422773749,1,multi,2,[]
391,cheetah,P,d,d,0.6055764767806977,1,multi,2,[]
392,differ,W,k,j,0.5747350684832782,1,multi,2,[]
393,plundafy,N,j,j,0.7688640111591667,1,multi,2,[]
394,bispout,N,j,j,0.6443731195759028,1,multi,2,[]
395,sublime,W,k,k,0.8528407753910869,1,multi,2,[]
396,dakries,N,j,j,0.6770365757402033,1,multi,2,[]
397,twilight,W,k,k,0.6908233258873224,1,multi,2,[]
398,coalesce,P,d,d,0.6427614004351199,1,multi,2,[]
399,cushy,W,k,k,1.1232397358398885,1,multi,2,[]
400,reloning,N,j,j,0.667505678255111,1,multi,2,[]
401,dozzle,N,j,j,0.6861284875776619,1,multi,2,[]
402,anwane,N,j,j,0.49188145995140076,1,multi,2,[]
403,comsticant,N,j,j,0.6131993918679655,1,multi,2,[]
404,emmoping,N,j,j,0.5454882527701557,1,multi,2,[]
